,name,username,tweetid,time,tweets,fanboy
17,Aliphant,AliffNaqiudding,750042160485982208,7/4/2016 7:02:40 PM,RT @TODAYonline: JUST IN: Malaysia police confirms ISIS involvement in Puchong grenade attack http://www.todayonline.com/world/asia/malaysia-police-confirms-isis-involvement-puchong-grenade-attack https://t.co/g0L4jpGP…,0
18,Shane Hudson,shanehudson25,752596648577142784,7/11/2016 8:13:18 PM,"RT @CloydRivers: ISIS wants us dead & we damn near have a race war on our hands. But on the bright side, y'all love catchin ' those Pokemon…",0
19,EPIC,EPlC24,8997,3/23/2016 9:01,"RT @sayed_ridha: #SOHR: #SAA & allies reach the outskirts of #Tadmor after taking control of Jabal Hayyal, clashes continue with #IS ",1
20,John Sullivan,ZFTWARNING,752674147323432960,7/12/2016 1:21:15 AM,RT @frontlinepbs: Neither the NSA nor GCHQ spotted the digital footprints of the Brussels plotters http://www.pbs.org/wgbh/frontline/article/isis-via-whatsapp-blow-yourself-up-o-lion/ https://t.co/5pU…,0
21,Automotive news,carslatestnews,749897607741341696,7/4/2016 9:28:16 AM,Baghdad bombing kills at least 200; ISIS claims responsibility - CNN: CNN Baghdad bombing… http://goo.gl/fb/TyqoPl,0
22,Jani,janimine,752569668142063616,7/11/2016 6:26:05 PM,ISIS WARNING: Horrifying map of target countries it wants to dominate in Europe by 2020 … pic.twitter.com/ScXOmRJqD6  https://t.co/Y3iAdwrD5,0
23,Katia Mello e Alvim,katiavstrom,752632883676864512,7/11/2016 10:37:17 PM,RT @MosulEye: 11 interesting facts from the history of Mosul: #الموصل_شمرة_عصا This isn’t the first time the northern city’s.  https://t.c…,0
24,SUDHARSHAN THEJA,KSUDHARSHANTHEJ,749927622172299266,7/4/2016 11:27:32 AM,in hyderabad people fears about ISIS,0
25,Rami,RamiAlLolah,8108,3/16/2016 21:52,#BreakingNews #NATO Incirlik air base on alert Threatcon Delta - the highest level #Turkey #ISIS via @L0gg0l ,1
26,adb,blom_alex,752599614750994432,7/11/2016 8:25:05 PM,RT @verge: We spoke to the US veteran who took a break fighting ISIS to catch Squirtle http://www.theverge.com/2016/7/11/12149510/pokemon-go-fighting-isis-kurdistan?utm_campaign=theverge&utm_content=chorus&utm_medium=social&utm_source=twitter pic.twitter.com/Qeu1H6ABzo,0
27,Fitria,apriliafitria,749978221391654913,7/4/2016 2:48:36 PM,RT @xeni: Dude ISIS is bombing Muslim people in Muslim communities during the Muslim holy month of Ramadan how is ISIS Muslim no they're ps…,0
28,의혹 풀자,autoob47,749975130026029056,7/4/2016 2:36:19 PM,"RT @realDonaldTrump: In Bangladesh, hostages were immediately killed by ISIS terrorists if they were unable to cite a verse from the Koran.…",0
29,Smart Aleck,JewishPolitico,749946497215688704,7/4/2016 12:42:32 PM,RT @realDonaldTrump: Crooked Hillary will NEVER be able to handle the complexities and danger of ISIS - it will just go on forever. We need…,0
30,Raj Gaurav Nautiyal,Bindaas_Bol,749968783964450816,7/4/2016 2:11:06 PM,"Mostly illegal Bangladeshi migrants holding thr Adhaar,UPA wished to settle them permanently. It 's like to tame ISIS https://twitter.com/rsprasad/status/749876580063805440",0
31,Sameer koothalil,sameerkoo2016,752635787708080128,7/11/2016 10:48:49 PM,"RT @drzakirofficial:  "" I DO NOT SUPPORT TERRORISM OR VIOLENCE in any form whatsoever. ""  #Anti_ISIS #UnitedAgainstTerror #SupportZakirNaik",0
32,Whatsupic Français,WhatsupicFr,752479255729147904,7/11/2016 12:26:49 PM,"Les  wahhabites salafistes de #Daesh à la solde des sionistes détruisent des Mausolées de Prophètes, des mosquées. http://fr.whatsupic.com/nouvelles-politiques-monde/1468240022.html",0
33,Susan_Nur,susan1612,750146438646992896,7/5/2016 1:57:02 AM,"RT @PrijantoRabbani: Politisi Yordania : ISIS Bentukan Amerika, Iran dan Rezim Bashar Assad  http://www.panjimas.com/news/2014/09/11/politisi-yordania-bukan-bentukan-amerika-iran-atau-rezim-bashar-assad/ #ISISProxyWar",0
34,Jose Luis,pepin009,752670549940244480,7/12/2016 1:06:57 AM,RT @ActualidadRT: El Estado Islámico decapita a 4 futbolistas en Raqqa https://actualidad.rt.com/actualidad/212867-estado-islamico-decapitar-futbolistas #ISIS pic.twitter.com/uGi3bcbNfd,0
35,Salahuddin Ayubi,mobi_ayubi,6153,2/28/2016 21:42,RT @ismailmahsud: Hot: #Iraq forces has been retreated from several location at Abu Ghureb offensive. Govt had to deploy additional forces … ,1
36,RSS Moorthy,rssmoorthy,752611600490569728,7/11/2016 9:12:43 PM,RT @TarekFatah: Kerala Christian brothers were converted to Islam by #ZakirNaik. They then left for #IslamicState. http://indianexpress.com/article/india/india-news-india/kerala-sons-used-to-visit-zakir-naik-says-father-of-missing-men-2905990/…,0
37,Edward Perez,Tochtli06,749994597011578885,7/4/2016 3:53:40 PM,"RT @nasseratta5: The shopping Center before & after Isis suicide car bomb that killed more than 140 people in #Baghdad, #Iraq https://t.co/…",0
38,Isis Love,ItsIsisLove,752613317940838400,7/11/2016 9:19:32 PM,Click here: http://www.9cams.com/watch/view Like if you like it & Retweet if you don't Tara Lynn Fox experienced in bondag… pic.twitter.com/8PXKvZpbKD,0
39,bitch where,caar_lou,750097938014146560,7/4/2016 10:44:19 PM,"RT @GeoAceWatch: En attaquant #Medine , Daesh prouve bien qu'ils n'ont rien à voir avec l'islam et qu'ils n'ont pour religion que la barbar…",0
40,(((Petrus Kefa))),petruskefa,752524211873259522,7/11/2016 3:25:27 PM,RT @Jerusalem_Post: 'ISIS-linked suspects sought to bomb Jewish institutions in South Africa ' http://www.jpost.com/Diaspora/ISIS-linked-suspects-sought-to-bomb-Jewish-institutions-in-South-Africa-460092 #Diaspora https://t.c…,0
41,Obama'sNation,jasonemryss,752627235262169088,7/11/2016 10:14:50 PM,"Despite indications that military strategy has failed, additional troop deployment to fight Islamic State in Iraq goes largely unquestioned",0
42,botebot,obotebot,752460154810032128,7/11/2016 11:10:55 AM,RT @Gazeta_Panorama: #Bote  Xhihadistët e Shtetit Islamik kanë humbur 12% të territorit që kishin në kontroll në Irak dhe Siri në.  https:…,0
43,Timi Akegbejo,timiakegbejo,749906078582837248,7/4/2016 10:01:56 AM,RT @timiakegbejo: There 's a BIG problem with d way media reports terrorism. This Isis bastard killed 20 people& his pics made headline http…,0
44,aydin sh,aydinsh,752474120110104576,7/11/2016 12:06:25 PM,"We Might Be Winning the War Against ISIS, At Least on Social Media http://ht.ly/OqD0502hntb",0
45,Hazera,purdyhaze,752639888130998274,7/11/2016 11:05:07 PM,RT @MazMHussain: Important to note ISIS defectors say Sunni Muslim women are also targeted by the group for sexual abuse: https://t.co/aB70…,0
46,Holiday mode ON~! :3,syafiqqah,749940692013592577,7/4/2016 12:19:28 PM,"RT @napiez: ISIS is actually a replay of the earliest days. A return to simple puritanism. It is part of it, stop denying n being in denial.",0
47,Emi Li,emilicell,749955226782793728,7/4/2016 1:17:14 PM,RT @alex_borges: ISIS matou cada refém incapaz de citar um verso do Corão em Bangladesh. Mas não vamos tirar conclusões precipitadas.,0
48,Quantum Fulaani,FidaeeFulaani,7623,3/11/2016 13:35,"RT @Klashinki: But it's OK, Abu Qatada said that not everyone who commits kufr has become a kafir. ",1
49,Seek Truth,joemonroe5,752656365726949376,7/12/2016 12:10:35 AM,"@Choostas And we had competent leaders, not like today. Obama made a mess of ME. allowed ISIS (JV Team) to run rampant over Shite & Kurds.",0
50,Khawaja Abaid Ullah,KhawajaAbaid,752518017024745472,7/11/2016 3:00:51 PM,RT @AyishaBaloch: #SackDoval Doval makes sure to provide all explosives to ISIS for terrorists activities pic.twitter.com/vFFrNzoGQA,0
51,VagaTweets,VagaTweets,750144843305848832,7/5/2016 1:50:42 AM,#VBUpdates: ISIS claim responsibility for Baghdad blasts. Death toll up to 200.,0
52,TheSaviourBeing,TheSaviourbeing,752496532365185024,7/11/2016 1:35:28 PM,RT @iitmweb: ISIS speed towards Iraqi tanks and detonate tank during battle for Fallujah - Daily Mail http://www.dailymail.co.uk/news/article-3684270/Terrifying-moment-ISIS-jihadis-speed-Iraqi-tanks-detonate-truck-packed-explosives-battle-Fallujah.html ,0
53,لول ------ LoL,PseudoExtremist,750016067519520768,7/4/2016 5:18:59 PM,"RT @Ali_Abbas_Zaidi: Saudi Monarchy still have  "" clerics ""  in its official panel that condone violent jihad (terrorism) that ISIS, AQ and Bok…",0
54,Manuel Carro,Geek_Manu,752534933764239360,7/11/2016 4:08:04 PM,Me gustó un video de @YouTube de @zdi_oficial http://youtu.be/mVG0bzKqE9w?a Estremecedor mapa muestra la expansión mundial de ISIS y sus,0
55,Kazuhira,akwardbutawsome,749930629685448704,7/4/2016 11:39:29 AM,RT @Anonymous_UE: Anonymous ataca varias cuentas de Twitter vinculadas al ISIS llenándolas de banderas LGTB. http://www.abc.es/tecnologia/redes/abci-tiroteo-orlando-hacker-anonymous-llena-banderas-lgtb-varias-cuentas-twitter-afines-deash-201606171823_noticia.html,0
56,Miri P.Leguizamon,LeguizamonMi,749899175010131968,7/4/2016 9:34:30 AM,RT @teleSURtv: #BagdadAttack | Doble atentado del #Daesh deja al menos 165 muertos y 200 heridos http://www.telesurtv.net/news/Mas-de-80-muertos-y-200-heridos-tras-ataque-del-Daesh-en-Bagdad-20160703-0001.html https://t.co/owfua…,0
57,Cindy,CindyLVanCamp,750139752251203584,7/5/2016 1:30:28 AM,RT @DineshDSouza: If ISIS declared the Obama administration a JV team it would be closer to the mark,0
58,محمد ܡܚܡܕ ܐܠܚܠܒܝ,syriani_,752469687146020864,7/11/2016 11:48:48 AM,RT @jo_bouk: NATO member Turkey gave shelter to senior al-Qaeda figure & allowed him to cross into Syria. https://www.washingtonpost.com/world/national-security/double-game-even-as-it-battles-isis-turkey-gives-other-extremists-shelter/2016/07/10/8d6ce040-4053-11e6-a66f-aa6c1883b6b1_story.html https://t…,0
59,Abu Sultan,Alsuliman_A1977,750138785275478016,7/5/2016 1:26:37 AM,#ISISAttackingMuslims ISIS never be a Muslim. How come Muslim kill a Muslim or attack a holy mosque. They use Islam to conduct their plans.,0
60,Mir Muzammil Chandio,ChandioMuzammil,750068424714358784,7/4/2016 8:47:02 PM,RT @ChacharFayaz: It is time for clerks of Islam to issue Fatwa against ISIS b/c religion is at same position but humanity affected every w…,0
61,Mohammed Iqbal,MohammedIqbal57,749909586136760322,7/4/2016 10:15:52 AM,"RT @munir104: The death cult that is Daesh only succeed because we Muslims abrogated our obligation to reject,refute & denounce its evil id…",0
62,Roblo Escobar,robbieGGhailey,752557625636687873,7/11/2016 5:38:14 PM,RT @ComplexMag: Soldier makes time for Pokémon Go while battling ISIS in Iraq: http://trib.al/gIdbdT4 pic.twitter.com/iGuNqXAgWs,0
63,Ira Goldman,KDbyProxy,752647756620165120,7/11/2016 11:36:23 PM,RT @Walldo: We talked to the former Marine that was playing Pokemon Go on the front lines near Mosul https://www.buzzfeed.com/hayesbrown/we-talked-to-the-guy-who-played-pokemon-go-on-the-frontline?utm_term=.hcj7ypdAY#.asX2neR0r https://t.co/d…,0
64,pawan sipani,pawansipani,752561057550376960,7/11/2016 5:51:52 PM,Pro-RSS Muslim Body To Stop Misguided Youths From Joining ISIS: To help stop misguided Muslim youths from joi. http://www.ndtv.com/india-news/pro-rss-muslim-body-to-stop-misguided-youths-from-joining-isis-1430312 ,0
65,Luis Tomala™,LuisTomala,749890527944925184,7/4/2016 9:00:08 AM,El número de fallecidos en el atentado del ISIS en Bagdad supera los 200 http://ln.is/elpais.com/WohlB,0
66,Ken Younos,KenYounos,749912154594172932,7/4/2016 10:26:05 AM,"#ISIS is not the problem. The problem is #ISLAM, no matter how much #Muslims lie to make us believe otherwise. https://twitter.com/IsraelNewsNow/status/749911794982920194",0
67,Andrés Ramírez Lara,andr3s_rl,752442391676669952,7/11/2016 10:00:20 AM,"Russian helicopter downed by the Islamic State near Palmyra, Syria http://www.longwarjournal.org/archives/2016/07/russian-helicopter-downed-by-islamic-state-near-palmyra-syria.php?utm_source=feedburner&utm_medium=email&utm_campaign=Feed:+LongWarJournalSiteWide+(The+Long+War+Journal+(Site-Wide))",0
68,السيّد حميّد,Hmid860,750052156628144130,7/4/2016 7:42:24 PM,RT @narrysweetheart: One of the most holiest places in Islam was attacked. And you're still telling me Isis are Muslim? #PrayForSaudi,0
69,Loco Marijuanos,LocoMarijuanos,749959657628831744,7/4/2016 1:34:50 PM,"@realDonaldTrump I doubt that, as she 's the one who created ISIS. Crooked bitch",0
70,DesdeFlorida,DesdeFlorida,750105704346816512,7/4/2016 11:15:10 PM,"RT @AnnCoulter: Paul Ryan offers executioner green card to show  "" who we are. ""   ISIS executioner beheads man for ‘mocking Islam’ https://t.c…",0
71,Salahuddin Ayubi,mobi_ayubi,6158,2/28/2016 21:46,RT @RamiAlLolah: #ISIS account: This #Assad's soldier was captured & executed by #IS in #Khanasir using his heavy gun & a video will show t… ,1
72,Muhammad Saqib,Saqibnzr,750108902973329409,7/4/2016 11:27:53 PM,RT @Daniyalbr: The Dogs of hell ISIS have not even spared the Prophet 's mosque and they call themselves 'defenders of islam',0
73,Harley and softail,_645236501049,752649284412137472,7/11/2016 11:42:27 PM,"RT @TEN_GOP:  "" ISIS threatens us today because of the decisions Hillary Clinton has made.. ""  ~ Donald Trump pic.twitter.com/87Q2tnt8HV",0
74,Wuduwāsa,aljakuns,752467120169033728,7/11/2016 11:38:36 AM,"RT @thomasjoscelyn: 1. Important piece by @JobyWarrick:   "" Double game? Even as it battles ISIS, Turkey gives other extremists shelter ""  http…",0
75,General,ismailmahsud,6033,2/28/2016 2:49,Ambush on #Egypt army in #Raffah border territory klld nmbr f soldiers whch was claimed by #ISIS militants yesterday https://twitter.com/account/suspended ,1
76,PCMag,PCMag,752623544371077126,7/11/2016 10:00:10 PM,Report: Twitter Traffic From ISIS Takes a Nosedive: http://www.pcmag.com/news/345976/report-twitter-traffic-from-isis-down-45-percent-over-past pic.twitter.com/elqMySze3Q,0
77,YouSee,yogeshcapri,749897174557659136,7/4/2016 9:26:33 AM,"RT @TheRahulMahajan: Are we selectively sensitive?  #ISIS kills 28 in Dhaka, the world condemns.The next day they kill 167 in Baghdad,  nob…",0
78,Golf&Photography,PCsReasy,752535693780520960,7/11/2016 4:11:05 PM,"RT @RitzyBacon2: Philadelphia👉they said: "" Don't mess with us, we belong to ISIS. http://www.dailywire.com/news/6792/philadelphia-muslims-attack-restaurant-goers-michael-qazvini #MAGA #tcot #ccot #pjnet https://t.…",0
79,Rain Qattal,1515Ummah,4435,2/15/2016 22:28,@CCl3r they are also the enemy ,1
80,Andaluzantiotan,Anti_otan1984,752588270287085568,7/11/2016 7:40:00 PM,RT @beatriz_er: Mujeres libanesas defendiendo su ciudad después de los últimos atentados de ISIS en Bekaa pic.twitter.com/i7tY3YeRUK,0
81,Getaneh Alemu,getaneha,749909520332259329,7/4/2016 10:15:36 AM,"This is ISIS - massacred 165 civilians in Baghdad including wiping out whole family members of mom, dad & kids.  http://www.bbc.co.uk/news/world-middle-east-36701882",0
82,Ramzi Belhaj Younes,BhyRamzi,749896064686227456,7/4/2016 9:22:08 AM,"RT @infohalal_net: #Daesh frappe à #Bagdad, #Dahka, #Istanbul http://info-halal.net/irak-turquie-bangladesh-attentats/ pic.twitter.com/UpMUfEb5pd",0
83,abu setdah,cuyGosong,749991301001641984,7/4/2016 3:40:34 PM,"RT @hadi2_mh: ISIS ? Nope, It 's Khalid Bin Walid. pic.twitter.com/CFzQ3xcZ8J",0
84,Daniel John Sobieski,gerfingerpoken2,749919794162307072,7/4/2016 10:56:26 AM,(IBD) So Why Can't Barack Hussein Admit #ISIS Beheaded Christians? - http://www.investors.com/islamic-state-beheads-egyptian-coptic-christians/ - @IBDeditorials - pic.twitter.com/7uzRVKMO73 120,0
85,osmanshaik,osmanshaik,750120370091458560,7/5/2016 12:13:27 AM,RT @asadowaisi: To learn Deen learn it by sitting at the feet of Scholars not through Google which produces extremist like isis https://t.c…,0
86,Ted Joy,TedJoy71,752642713045049344,7/11/2016 11:16:20 PM,"RT @carlajo1947: BREAKING: #FBI ARRESTS #ISIS OPERATIVE LIVING IN WASHING, D.C. READ & RT. https://twitter.com/JaySekulow/status/751518988786626560",0
87,♕KingShoker♕,KingShoker_,750131437051928576,7/5/2016 12:57:26 AM,RT @ABC: City apologizes to Emirati man cuffed after falsely accused of pledging allegiance to ISIS http://abcnews.go.com/US/city-apologizes-man-falsely-accused-pledging-allegiance-isis/story https://t.co/xT…,0
88,Steph Allan,stephnicallan,749959855306309632,7/4/2016 1:35:37 PM,RT @washingtonpost: The worst ISIS attack in days is the one the world probably cares least about https://www.washingtonpost.com/news/worldviews/wp/2016/07/03/the-worst-alleged-isis-attack-in-days-is-the-one-the-world-probably-cares-least-about/ ,0
89,‏- کُـوينھ❤️.,Khadija271,752646137199337473,7/11/2016 11:29:57 PM,"RT @Mohammed_Lori: المعنى الحقيقي لمعنى  "" الله اكبر ""    What allah akbar really means ! !  #داعش #ISIS  #تفجير_القطيف #تفجير_المدينة https://t.…",0
90,キュアあざとい！,precure_hold,752506878702215168,7/11/2016 2:16:35 PM,【韓　国的3.11】韓　国 人から殺害予告も－炎上していたアカウントまとめ【韓流 の正体】http://togetter.com/li/314450 daash　ISIL　Deash　ISIS　Daaesh　IslamicState داعش الدولة_الإسلامية الد,0
91,سيـف الفهاد,sh3ernb9,750141925982932992,7/5/2016 1:39:06 AM,RT @babarkhan85: All People Who said ISIS are Muslims Should Shut their Mouths & See What they did with Muslims in #SaudiArabia,0
92,A girl has no name,naobrde,752451891976699904,7/11/2016 10:38:05 AM,RT @c1arabe: les gars c pas daesh qui va faire un attentat là c les français mdrrrrrrr,0
93,Asim Abu Merjem,AsimAbuMerjem,768,12/26/2015 16:42,"@LaDonnaRae53 @iyad_elbaghdadi I blamed them first of all.I said puppets. Arab goverments, kurds, shias. These are not protectors of muslims ",1
94,GIRLSFORTRUMP,lbrot1,752508545048903680,7/11/2016 2:23:12 PM,"RT @peddoc63: When Japan attacked America, Truman bombed Japan✔️ When ISIS strikes America, Obama threatens to take our guns❌ https://t.co/…",0
95,Ric the Magnificent,NASCARNAC,749923588635930624,7/4/2016 11:11:31 AM,Drudge: Gains ground in overseas terror. http://www.nytimes.com/2016/07/04/world/middleeast/isis-terrorism.html #tcot #ocra #ampat,0
96,FZ,fzz87,750124924237295616,7/5/2016 12:31:33 AM,"RT @TODAYonline: #Ramadan attacks show evil nature of #IslamicState, says Shanmugam http://www.todayonline.com/singapore/ramadan-attacks-show-evil-nature-islamic-state-says-shanmugam pic.twitter.com/HA8yDL24P8",0
97,LOST Ⓥ,TheNameIsJORB,752610138037432320,7/11/2016 9:06:54 PM,RT @thelollcano: seen more black men killed on live TV than i seen ISIS execution videos but yall still convinced people across the world o…,0
98,Susmita Eka Putri,puputcalrioszde,750085213854703617,7/4/2016 9:53:45 PM,"Don't have any idea if they were ISIS or any kind of those stupid terrorist groups. But still and forever, they are not moeslem!",0
99,Jamie Williams,jamiehasspoken,749923951510364160,7/4/2016 11:12:57 AM,And another. Too many lives cut short. http://fb.me/83pJIub0z,0
100,MOHAMMED BAYAT,MohammedBayat,752623608439140354,7/11/2016 10:00:25 PM,"RT @jerryscott21: #AllLivesDidntMatter when Muslims are treated as terrorists associated to ISIS, but forget that the KKK is the domestic t…",0
101,AJIT SINGH PUNDIR,ajitsinghpundir,752549393987997696,7/11/2016 5:05:31 PM,"RT @WajahatAli: Hero. Muslim Man Hugs ISIS Suicide Bomber Moments Before Explosion, Saves Hundreds Of Lives http://www.indiatimes.com/news/world/muslim-man-hugs-isis-militant-armed-wearing-suicide-vest-before-explosion-saves-hundreds-of-lives-258126.html via @in…",0
102,JustUkht Maryam,432Mryam,8231,3/17/2016 15:40,🔲🔳🔲▪️$UPP0RT!!▪️🔲🔳🔲 @baqiyahansar @baqiyahansar @baqiyahansar 🔲▪️🔳▪️🔲▪️🔳▪️🔲▪️🔳 ,1
103,deborah wickenheiser,debredbird,749977902842834944,7/4/2016 2:47:20 PM,"RT @realDonaldTrump: The third mass attack (slaughter) in days by ISIS. 200 dead in Baghdad, worst in many years. We do not have leadership…",0
104,Paolo Di Martino,Cascavel47,749904051073056768,7/4/2016 9:53:52 AM,Turkey offers assistance to Iraq after deadly ISIL attack http://netvib.es/p/Km-Q pic.twitter.com/MoZjRIZm8i,0
105,BullFax.com Markets,bullfax,749966130031292417,7/4/2016 2:00:33 PM,Turkey to propose cooperation with Russia on fighting ISIS - http://www.bullfax.com/ ,0
106,Salahuddin Ayubi,mobi_ayubi,9389,3/24/2016 19:48,RT @MaghrebiHD: Sky News: Russian Special Forces officer has been killed west of #Palmyra (Interfax) ,1
107,Selma,selmappereira81,752607116733493248,7/11/2016 8:54:54 PM,RT @prosapolitica: Quem sabe assim fica mais fácil para os petralhas que gostam de dialogar com o ISIS entender.  pic.twitter.com/3iXcSvHBgo,0
108,hafnium fulaani,Fidaee_Fulaani,4462,2/16/2016 13:49,"Another so-called ""Shari'i"" of Sahawat featured in latest issue of al-Naba' newsletter.... https://twitter.com/account/suspended ",1
109,General,ismailmahsud,6320,3/1/2016 15:30,@awoklb i had that one😞 ,1
110,Frank Durette,frankoo7,752468387993886720,7/11/2016 11:43:38 AM,"The latest Autochtones, le Journal!  http://paper.li/frankoo7/natives?edition_id=b39134a0-475c-11e6-b7b0-0cc47a0d15fd #muslim #isis",0
111,Quantum Fulaani,FidaeeFulaani,6922,3/5/2016 0:27,"RT @moustiklash: Shaykh Adnani: ""so beware, by fighting the Islamic State you fall into kufr whether you realise it or not"" By replacing t… ",1
112,.,Soha_husssain,750059773308133376,7/4/2016 8:12:40 PM,ISIS 's ‘month of pain for infidels’ claims 830 lives http://www.dailymail.co.uk/news/article-3673721/Islamic-State-s-four-weeks-pain-infidels-claim-800-lives-Huge-death-toll-attacks-Iraq-Bangladesh-following-Islamists-call-slaughtering-Ramadan.html via @MailOnline,0
113,Benjamin Bell,TattooQ,752569607492370432,7/11/2016 6:25:51 PM,RT @kastenrahmen1: 20 ISIS militants were killed in an attack on the Kurdish Peshmerga forces in the Christian town of TelSkuf. https://t.c…,0
114,Laeeqa,LaeeqaAllie,750049631350980608,7/4/2016 7:32:22 PM,"ISIS has hit Turkey, Bangladesh, Iraq and now Saudi all in less than a week.   I can't process these tragedies anymore",0
115,Ajay Krishna,ajkrish14,749915560956178432,7/4/2016 10:39:37 AM,"#Baghdad Killings: Suicide Truck bombing Kills at Least 124, #ISIS claims responsibility http://www.newsgram.com/baghdad-killings-suicide-truck-bombing-kills-at-least-124-isis-claims-responsibility/ via @NewsGram1",0
116,Abu_Azzam25,Abu_Azzzam25,3829,2/10/2016 17:07,RT @Jihadology_Net: New issue of Anṣār al-Sharī’ah in the Arabian Peninsula’s newspaper: “al-Masrā #4″ http://jihadology.net/2016/02/09/new-issue-of-anṣar-al-shariah-in-the-arabian-peninsulas-newspaper-al-masra-4/ https://t.co… ,1
117,Cheryl,GrannieAnnieTo4,752604791956647936,7/11/2016 8:45:39 PM,"RT @creepingsharia: Virginia: Muslim Arrested for ISIS Support, Wanted to Kill US Soldiers https://creepingsharia.wordpress.com/2016/07/11/virginia-muslim-arrested-for-isis-support-wanted-to-kill-us-soldiers pic.twitter.com/ksWFwMFlfH",0
118,PacificPartnersDC,PacPartnersDC,752563281894617088,7/11/2016 6:00:43 PM,"#ISIS ability to exploit cracks in #SEA 's porous borders should cause concern, argue @PNguyen_DC & @ConorCroninDC: http://cogitasia.com/recalibrating-the-islamic-state-threat-in-southeast-asia/ ",0
